GFLOPs (@1GHz),Utilization,Cycles,Energy,EDP(J*cycle),Area,Layer Number,Name,Group,Residual Block Number,Mamba Block,Layer Type,C,G,M,N,P,Q,R,S
15.99,4.76%,524288,280.24,1.47e+02,0.00,000,layers_0_mixer_in_proj,layers,0.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,001,layers_0_mixer_conv1d,layers,0.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,002,layers_0_mixer_x_proj,layers,0.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,003,layers_0_mixer_dt_proj,layers,0.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,004,layers_0_mixer_out_proj,layers,0.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,005,layers_1_mixer_in_proj,layers,1.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,006,layers_1_mixer_conv1d,layers,1.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,007,layers_1_mixer_x_proj,layers,1.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,008,layers_1_mixer_dt_proj,layers,1.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,009,layers_1_mixer_out_proj,layers,1.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,010,layers_2_mixer_in_proj,layers,2.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,011,layers_2_mixer_conv1d,layers,2.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,012,layers_2_mixer_x_proj,layers,2.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,013,layers_2_mixer_dt_proj,layers,2.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,014,layers_2_mixer_out_proj,layers,2.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,015,layers_3_mixer_in_proj,layers,3.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,016,layers_3_mixer_conv1d,layers,3.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,017,layers_3_mixer_x_proj,layers,3.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,018,layers_3_mixer_dt_proj,layers,3.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,019,layers_3_mixer_out_proj,layers,3.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,020,layers_4_mixer_in_proj,layers,4.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,021,layers_4_mixer_conv1d,layers,4.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,022,layers_4_mixer_x_proj,layers,4.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,023,layers_4_mixer_dt_proj,layers,4.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,024,layers_4_mixer_out_proj,layers,4.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,025,layers_5_mixer_in_proj,layers,5.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,026,layers_5_mixer_conv1d,layers,5.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,027,layers_5_mixer_x_proj,layers,5.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,028,layers_5_mixer_dt_proj,layers,5.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,029,layers_5_mixer_out_proj,layers,5.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,030,layers_6_mixer_in_proj,layers,6.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,031,layers_6_mixer_conv1d,layers,6.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,032,layers_6_mixer_x_proj,layers,6.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,033,layers_6_mixer_dt_proj,layers,6.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,034,layers_6_mixer_out_proj,layers,6.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,035,layers_7_mixer_in_proj,layers,7.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,036,layers_7_mixer_conv1d,layers,7.0,mixer,conv1d,1,2048,1,1,1,13,1,4
