GFLOPs (@1GHz),Utilization,Cycles,Energy,EDP(J*cycle),Area,mac,psum_spad,weights_spad,ifmap_spad,shared_glb,DRAM,Total,Layer Number,Name,Group,Residual Block Number,Mamba Block,Layer Type,C,G,M,N,P,Q,R,S
23.99,7.14%,786432,630.58,4.96e+02,0.00,207.69,470.04,1930.72,108.69,49.26,64052.08,66818.49,000,layers_0_mixer_in_proj,layers,0.0,mixer,in_proj,1536,1,6144,1,1,1,1,1
24.00,7.14%,32768,26.46,8.67e-01,0.00,207.69,470.29,1930.72,106.84,50.37,64520.83,67286.75,002,layers_0_mixer_x_proj,layers,0.0,mixer,x_proj,3072,1,128,1,1,1,1,1
23.88,7.14%,24576,19.87,4.88e-01,0.00,207.69,439.12,1930.72,101.35,20.19,64687.50,67386.58,003,layers_0_mixer_dt_proj,layers,0.0,mixer,dt_proj,96,1,3072,1,1,1,1,1
24.00,7.14%,393216,315.30,1.24e+02,0.00,207.69,470.93,1930.72,106.84,41.66,64062.50,66820.35,004,layers_0_mixer_out_proj,layers,0.0,mixer,out_proj,3072,1,1536,1,1,1,1,1
23.99,7.14%,786432,630.58,4.96e+02,0.00,207.69,470.04,1930.72,108.69,49.26,64052.08,66818.49,005,layers_1_mixer_in_proj,layers,1.0,mixer,in_proj,1536,1,6144,1,1,1,1,1
24.00,7.14%,32768,26.46,8.67e-01,0.00,207.69,470.29,1930.72,106.84,50.37,64520.83,67286.75,007,layers_1_mixer_x_proj,layers,1.0,mixer,x_proj,3072,1,128,1,1,1,1,1
23.88,7.14%,24576,19.87,4.88e-01,0.00,207.69,439.12,1930.72,101.35,20.19,64687.50,67386.58,008,layers_1_mixer_dt_proj,layers,1.0,mixer,dt_proj,96,1,3072,1,1,1,1,1
24.00,7.14%,393216,315.30,1.24e+02,0.00,207.69,470.93,1930.72,106.84,41.66,64062.50,66820.35,009,layers_1_mixer_out_proj,layers,1.0,mixer,out_proj,3072,1,1536,1,1,1,1,1
23.99,7.14%,786432,630.58,4.96e+02,0.00,207.69,470.04,1930.72,108.69,49.26,64052.08,66818.49,010,layers_2_mixer_in_proj,layers,2.0,mixer,in_proj,1536,1,6144,1,1,1,1,1
24.00,7.14%,32768,26.46,8.67e-01,0.00,207.69,470.29,1930.72,106.84,50.37,64520.83,67286.75,012,layers_2_mixer_x_proj,layers,2.0,mixer,x_proj,3072,1,128,1,1,1,1,1
23.88,7.14%,24576,19.87,4.88e-01,0.00,207.69,439.12,1930.72,101.35,20.19,64687.50,67386.58,013,layers_2_mixer_dt_proj,layers,2.0,mixer,dt_proj,96,1,3072,1,1,1,1,1
24.00,7.14%,393216,315.30,1.24e+02,0.00,207.69,470.93,1930.72,106.84,41.66,64062.50,66820.35,014,layers_2_mixer_out_proj,layers,2.0,mixer,out_proj,3072,1,1536,1,1,1,1,1
23.99,7.14%,786432,630.58,4.96e+02,0.00,207.69,470.04,1930.72,108.69,49.26,64052.08,66818.49,015,layers_3_mixer_in_proj,layers,3.0,mixer,in_proj,1536,1,6144,1,1,1,1,1
24.00,7.14%,32768,26.46,8.67e-01,0.00,207.69,470.29,1930.72,106.84,50.37,64520.83,67286.75,017,layers_3_mixer_x_proj,layers,3.0,mixer,x_proj,3072,1,128,1,1,1,1,1
23.88,7.14%,24576,19.87,4.88e-01,0.00,207.69,439.12,1930.72,101.35,20.19,64687.50,67386.58,018,layers_3_mixer_dt_proj,layers,3.0,mixer,dt_proj,96,1,3072,1,1,1,1,1
24.00,7.14%,393216,315.30,1.24e+02,0.00,207.69,470.93,1930.72,106.84,41.66,64062.50,66820.35,019,layers_3_mixer_out_proj,layers,3.0,mixer,out_proj,3072,1,1536,1,1,1,1,1
23.99,7.14%,786432,630.58,4.96e+02,0.00,207.69,470.04,1930.72,108.69,49.26,64052.08,66818.49,020,layers_4_mixer_in_proj,layers,4.0,mixer,in_proj,1536,1,6144,1,1,1,1,1
24.00,7.14%,32768,26.46,8.67e-01,0.00,207.69,470.29,1930.72,106.84,50.37,64520.83,67286.75,022,layers_4_mixer_x_proj,layers,4.0,mixer,x_proj,3072,1,128,1,1,1,1,1
23.88,7.14%,24576,19.87,4.88e-01,0.00,207.69,439.12,1930.72,101.35,20.19,64687.50,67386.58,023,layers_4_mixer_dt_proj,layers,4.0,mixer,dt_proj,96,1,3072,1,1,1,1,1
24.00,7.14%,393216,315.30,1.24e+02,0.00,207.69,470.93,1930.72,106.84,41.66,64062.50,66820.35,024,layers_4_mixer_out_proj,layers,4.0,mixer,out_proj,3072,1,1536,1,1,1,1,1
23.99,7.14%,786432,630.58,4.96e+02,0.00,207.69,470.04,1930.72,108.69,49.26,64052.08,66818.49,025,layers_5_mixer_in_proj,layers,5.0,mixer,in_proj,1536,1,6144,1,1,1,1,1
24.00,7.14%,32768,26.46,8.67e-01,0.00,207.69,470.29,1930.72,106.84,50.37,64520.83,67286.75,027,layers_5_mixer_x_proj,layers,5.0,mixer,x_proj,3072,1,128,1,1,1,1,1
23.88,7.14%,24576,19.87,4.88e-01,0.00,207.69,439.12,1930.72,101.35,20.19,64687.50,67386.58,028,layers_5_mixer_dt_proj,layers,5.0,mixer,dt_proj,96,1,3072,1,1,1,1,1
24.00,7.14%,393216,315.30,1.24e+02,0.00,207.69,470.93,1930.72,106.84,41.66,64062.50,66820.35,029,layers_5_mixer_out_proj,layers,5.0,mixer,out_proj,3072,1,1536,1,1,1,1,1
23.99,7.14%,786432,630.58,4.96e+02,0.00,207.69,470.04,1930.72,108.69,49.26,64052.08,66818.49,030,layers_6_mixer_in_proj,layers,6.0,mixer,in_proj,1536,1,6144,1,1,1,1,1
24.00,7.14%,32768,26.46,8.67e-01,0.00,207.69,470.29,1930.72,106.84,50.37,64520.83,67286.75,032,layers_6_mixer_x_proj,layers,6.0,mixer,x_proj,3072,1,128,1,1,1,1,1
23.88,7.14%,24576,19.87,4.88e-01,0.00,207.69,439.12,1930.72,101.35,20.19,64687.50,67386.58,033,layers_6_mixer_dt_proj,layers,6.0,mixer,dt_proj,96,1,3072,1,1,1,1,1
24.00,7.14%,393216,315.30,1.24e+02,0.00,207.69,470.93,1930.72,106.84,41.66,64062.50,66820.35,034,layers_6_mixer_out_proj,layers,6.0,mixer,out_proj,3072,1,1536,1,1,1,1,1
23.99,7.14%,786432,630.58,4.96e+02,0.00,207.69,470.04,1930.72,108.69,49.26,64052.08,66818.49,035,layers_7_mixer_in_proj,layers,7.0,mixer,in_proj,1536,1,6144,1,1,1,1,1
24.00,7.14%,32768,26.46,8.67e-01,0.00,207.69,470.29,1930.72,106.84,50.37,64520.83,67286.75,037,layers_7_mixer_x_proj,layers,7.0,mixer,x_proj,3072,1,128,1,1,1,1,1
23.88,7.14%,24576,19.87,4.88e-01,0.00,207.69,439.12,1930.72,101.35,20.19,64687.50,67386.58,038,layers_7_mixer_dt_proj,layers,7.0,mixer,dt_proj,96,1,3072,1,1,1,1,1
